Start,End,Open
2022-04-18,2022-04-25,39695.5398
2022-04-11,2022-04-18,42149.9799
2022-04-04,2022-04-11,46429.49649280854
2022-03-28,2022-04-04,46824.60640989382
2022-03-21,2022-03-28,41219.86354366206
2022-03-14,2022-03-21,37784.66665010009
2022-03-07,2022-03-14,38398.9354607035
2022-02-28,2022-03-07,37703.77403924574
2022-02-21,2022-02-28,38362.69454413227
2022-02-14,2022-02-21,42046.3787
2022-02-07,2022-02-14,42396.15324357634
2022-01-31,2022-02-07,37913.2395
2022-01-24,2022-01-31,36245.2641
2022-01-17,2022-01-24,43072.25577567013
2022-01-10,2022-01-17,41841.86351961653
2022-01-03,2022-01-10,47311.9467
2021-12-27,2022-01-03,50787.26383023923
2021-12-20,2021-12-27,46706.435661563206
2021-12-13,2021-12-20,50071.27790345943
2021-12-06,2021-12-13,49368.4935
2021-11-29,2021-12-06,57213.04314393833
2021-11-22,2021-11-29,58711.913369104186
2021-11-15,2021-11-22,65499.742006672335
2021-11-08,2021-11-15,63278.23163966085
2021-11-01,2021-11-08,61290.081559988255
2021-10-25,2021-11-01,60883.77302258394
2021-10-18,2021-10-25,61543.26469764322
2021-10-11,2021-10-18,54695.9213
2021-10-04,2021-10-11,48186.6468
2021-09-27,2021-10-04,43204.9623
2021-09-20,2021-09-27,47236.5087
2021-09-13,2021-09-20,46057.4156
2021-09-06,2021-09-13,51747.2295
2021-08-30,2021-09-06,48763.4158
2021-08-23,2021-08-30,49279.95149462958
2021-08-16,2021-08-23,47056.2741
2021-08-09,2021-08-16,43793.24565396788
2021-08-02,2021-08-09,39918.956774115344
2021-07-26,2021-08-02,35340.07
2021-07-19,2021-07-26,31771.72
2021-07-12,2021-07-19,34224.74265607296
2021-07-05,2021-07-12,35308.197876200415
2021-06-28,2021-07-05,34622
2021-06-21,2021-06-28,35677.32936814285
2021-06-14,2021-06-21,39106.54
2021-06-07,2021-06-14,35827.5
2021-05-31,2021-06-07,35634.7
2021-05-24,2021-05-31,34794.268327071324
2021-05-17,2021-05-24,46408.69
2021-05-10,2021-05-17,58215.443921265
2021-05-03,2021-05-10,56566.43
2021-04-26,2021-05-03,49045.573224645
2021-04-19,2021-04-26,56183.520461118
2021-04-12,2021-04-19,60007.793017067
2021-04-05,2021-04-12,58197.978729273
2021-03-29,2021-04-05,55748.632014917
2021-03-22,2021-03-29,57384.45757667
2021-03-15,2021-03-22,59150.403028178
2021-03-08,2021-03-15,50934.444601724
2021-03-01,2021-03-08,45109.070026715
2021-02-22,2021-03-01,57411.011820817
2021-02-15,2021-02-22,48643.603406616
2021-02-08,2021-02-15,38857.116947072
2021-02-01,2021-02-08,33082.843766076
2021-01-25,2021-02-01,32224.508685312
2021-01-18,2021-01-25,35822.529922864
2021-01-11,2021-01-18,38223.373713229
2021-01-04,2021-01-11,32949.399464061
2020-12-28,2021-01-04,26269.009679172
2020-12-21,2020-12-28,23488.415479729
2020-12-14,2020-12-21,19181.39628037
2020-12-07,2020-12-14,19363.53181553
2020-11-30,2020-12-07,18181.615199899
2020-11-23,2020-11-30,18400.416213361
2020-11-16,2020-11-23,15948.492682357
2020-11-09,2020-11-16,15478.313162689
2020-11-02,2020-11-09,13760.888840264
2020-10-26,2020-11-02,13022.015623294
2020-10-19,2020-10-26,11500.032381833
2020-10-12,2020-10-19,11369.010052727
2020-10-05,2020-10-12,10667.057547703
2020-09-28,2020-10-05,10774.254373833
2020-09-21,2020-09-28,10920.987708412
2020-09-14,2020-09-21,10327.098000193
2020-09-07,2020-09-14,10248.393996744
2020-08-31,2020-09-07,11715.379855157
2020-08-24,2020-08-31,11648.112342376
2020-08-17,2020-08-24,11892.992797819
2020-08-10,2020-08-17,11666.673083738
2020-08-03,2020-08-10,11070.059688711
2020-07-27,2020-08-03,9921.922095493
2020-07-20,2020-07-27,9207.293260351
2020-07-13,2020-07-20,9297.137398499
2020-07-06,2020-07-13,9077.942345453
2020-06-29,2020-07-06,9126.119998539
2020-06-22,2020-06-29,9295.515456527
2020-06-15,2020-06-22,9352.512538141
2020-06-08,2020-06-15,9747.856807497
2020-06-01,2020-06-08,9454.105516725
2020-05-25,2020-06-01,8765.900390232
2020-05-18,2020-05-25,9672.109015684
2020-05-11,2020-05-18,8747.339336473
2020-05-04,2020-05-11,8895.40132796
2020-04-27,2020-05-04,7676.112823842
2020-04-20,2020-04-27,7130.802845592
2020-04-13,2020-04-20,6925.828475568
2020-04-06,2020-04-13,6789.732157002
2020-03-30,2020-04-06,5900.006585031
2020-03-23,2020-03-30,5836.556172955
2020-03-16,2020-03-23,5374.039138323
2020-03-09,2020-03-16,8045.081282543
2020-03-02,2020-03-09,8549.340701251
2020-02-24,2020-03-02,9953.140109016
2020-02-17,2020-02-24,9939.757984886
2020-02-10,2020-02-17,10128.723888224
2020-02-03,2020-02-10,9332.390335202
2020-01-27,2020-02-03,8603.44599155
2020-01-20,2020-01-27,8706.122036344
2020-01-13,2020-01-20,8174.754397887
2020-01-06,2020-01-13,7361.712600237
2019-12-30,2020-01-06,7388.393119126
2019-12-23,2019-12-30,7492.45029805
2019-12-16,2019-12-23,7118.479133455
2019-12-09,2019-12-16,7511.276362839
2019-12-02,2019-12-09,7405.658938092
2019-11-25,2019-12-02,6931.499193615
2019-11-18,2019-11-25,8504.159201877
2019-11-11,2019-11-18,9037.812386506
2019-11-04,2019-11-11,9201.271372755
2019-10-28,2019-11-04,9535.718920751
2019-10-21,2019-10-28,8211.341400254
2019-10-14,2019-10-21,8289.073814688
2019-10-07,2019-10-14,7884.202457388
2019-09-30,2019-10-07,8062.303348361
2019-09-23,2019-09-30,10038.947939225
2019-09-16,2019-09-23,10314.929924681
2019-09-09,2019-09-16,10408.890179822
2019-09-02,2019-09-09,9719.55538852
2019-08-26,2019-09-02,10150.617721237
2019-08-19,2019-08-26,10330.503755368
2019-08-12,2019-08-19,11570.902065919
2019-08-05,2019-08-12,10930.662455659
2019-07-29,2019-08-05,9550.402969336
2019-07-22,2019-07-29,10592.217243
2019-07-15,2019-07-22,10227.417501092
2019-07-08,2019-07-15,11450.359933415
2019-07-01,2019-07-08,10908.296655923
2019-06-24,2019-07-01,10899.114587489
2019-06-17,2019-06-24,9026.522571994
2019-06-10,2019-06-17,7752.220272896
2019-06-03,2019-06-10,8771.296312752
2019-05-27,2019-06-03,8751.57317691
2019-05-20,2019-05-27,8172.974801761
2019-05-13,2019-05-20,7010.551665358
2019-05-06,2019-05-13,5772.581488954
2019-04-29,2019-05-06,5296.546936304
2019-04-22,2019-04-29,5347.870261836
2019-04-15,2019-04-22,5190.134974733
2019-04-08,2019-04-15,5213.650120988
2019-04-01,2019-04-08,4199.617439676
2019-03-25,2019-04-01,4023.328814622
2019-03-18,2019-03-25,4008.284983797
2019-03-11,2019-03-18,3900.462788114
2019-03-04,2019-03-11,3879.964730091
2019-02-25,2019-03-04,3808.473252069
2019-02-18,2019-02-25,3628.785108355
2019-02-11,2019-02-18,3666.346751167
2019-02-04,2019-02-11,3453.008649654
2019-01-28,2019-02-04,3574.356431872
2019-01-21,2019-01-28,3580.394848908
2019-01-14,2019-01-21,3555.550456106
2019-01-07,2019-01-14,4082.095636372
2018-12-31,2019-01-07,3863.966826435
2018-12-24,2018-12-31,3974.488113207
2018-12-17,2018-12-24,3260.535478026
2018-12-10,2018-12-17,3583.500415102
2018-12-03,2018-12-10,4150.827310223
2018-11-26,2018-12-03,3994.418821674
2018-11-19,2018-11-26,5651.276823682
2018-11-12,2018-11-19,6411.278115302
2018-11-05,2018-11-12,6458.928433763
2018-10-29,2018-11-05,6406.269060578
2018-10-22,2018-10-29,6477.219324492
2018-10-15,2018-10-22,6325.070599423
2018-10-08,2018-10-15,6602.290457561
2018-10-01,2018-10-08,6624.023395287
2018-09-24,2018-10-01,6709.093372549
2018-09-17,2018-09-24,6512.220342627
2018-09-10,2018-09-17,6274.807969006
2018-09-03,2018-09-10,7278.253608581
2018-08-27,2018-09-03,6708.159869046
2018-08-20,2018-08-27,6504.064719069
2018-08-13,2018-08-20,6342.49538075
2018-08-06,2018-08-13,7040.944982529
2018-07-30,2018-08-06,8218.147751985
2018-07-23,2018-07-30,7386.710266104
2018-07-16,2018-07-23,6349.113032979
2018-07-09,2018-07-16,6713.143583017
2018-07-02,2018-07-09,6363.378352016
2018-06-25,2018-07-02,6149.963218829
2018-06-18,2018-06-25,6460.21840507
2018-06-11,2018-06-18,6804.106499107
2018-06-04,2018-06-11,7687.675751763
2018-05-28,2018-06-04,7366.64777523
2018-05-21,2018-05-28,8504.392245727
2018-05-14,2018-05-21,8696.818046123
2018-05-07,2018-05-14,9673.823718897
2018-04-30,2018-05-07,9412.933156562
2018-04-23,2018-04-30,8785.307707704
2018-04-16,2018-04-23,8306.241710004
2018-04-09,2018-04-16,7013.715303761
2018-04-02,2018-04-09,6841.725764416
2018-03-26,2018-04-02,8453.806862484
2018-03-19,2018-03-26,8195.616341537
2018-03-12,2018-03-19,9557.854232694
2018-03-05,2018-03-12,11502.666673068
2018-02-26,2018-03-05,9703.321915886
2018-02-19,2018-02-26,10562.644468981
2018-02-12,2018-02-19,8120.351924296
2018-02-05,2018-02-12,8215.505812363
2018-01-29,2018-02-05,11778.744249792
2018-01-22,2018-01-29,11529.521821363
2018-01-15,2018-01-22,13787.98920627
2018-01-08,2018-01-15,16265.340844756
2018-01-01,2018-01-08,14046.002763769
2017-12-25,2018-01-01,13868.871856886
2017-12-18,2017-12-25,19184.874580834
2017-12-11,2017-12-18,15322.77282757
2017-12-04,2017-12-11,11318.919770069
2017-11-27,2017-12-04,9372.693821919
2017-11-20,2017-11-27,8014.61564605
2017-11-13,2017-11-20,5989.778473489
2017-11-06,2017-11-13,7402.650704073
2017-10-30,2017-11-06,6124.058615846
2017-10-23,2017-10-30,6012.756880222
2017-10-16,2017-10-23,5682.169341059
2017-10-09,2017-10-16,4595.593790925
2017-10-02,2017-10-09,4362.540620199
2017-09-25,2017-10-02,3682.84
2017-09-18,2017-09-25,3582.88
2017-09-11,2017-09-18,4122.94
2017-09-04,2017-09-11,4582.96
2017-08-28,2017-09-04,4382.88
2017-08-21,2017-08-28,4087.66
2017-08-14,2017-08-21,4073.26
2017-08-07,2017-08-14,3213.94
2017-07-31,2017-08-07,2757.18
2017-07-24,2017-07-31,2730.4
2017-07-17,2017-07-24,1929.82
2017-07-10,2017-07-17,2518.44
2017-07-03,2017-07-10,2506.47
2017-06-26,2017-07-03,2589.41
2017-06-19,2017-06-26,2548.29
2017-06-12,2017-06-19,2958.11
2017-06-05,2017-06-12,2511.81
2017-05-29,2017-06-05,2155.8
2017-05-22,2017-05-29,2041.2
2017-05-15,2017-05-22,1808.91
2017-05-08,2017-05-15,1596.71
2017-05-01,2017-05-08,1347.89
2017-04-24,2017-05-01,1207.21
2017-04-17,2017-04-24,1182.94
2017-04-10,2017-04-17,1187.87
2017-04-03,2017-04-10,1102.17
2017-03-27,2017-04-03,966.725
2017-03-20,2017-03-27,1036.74
2017-03-13,2017-03-20,1221.38
2017-03-06,2017-03-13,1267.12
2017-02-27,2017-03-06,1165.2
2017-02-20,2017-02-27,1047.87
2017-02-13,2017-02-20,999.181
2017-02-06,2017-02-13,1027.34
2017-01-30,2017-02-06,919.496
2017-01-23,2017-01-30,924.673
2017-01-16,2017-01-23,821.798
2017-01-09,2017-01-16,911.199
2017-01-02,2017-01-09,998.325
2016-12-26,2017-01-02,896.183
2016-12-19,2016-12-26,790.53
2016-12-12,2016-12-19,769.731
2016-12-05,2016-12-12,773.872
2016-11-28,2016-12-05,732.035
2016-11-21,2016-11-28,731.026
2016-11-14,2016-11-21,702.031
2016-11-07,2016-11-14,711.522
2016-10-31,2016-11-07,701.864
2016-10-24,2016-10-31,657.071
2016-10-17,2016-10-24,641.631
2016-10-10,2016-10-17,616.752
2016-10-03,2016-10-10,610.892
2016-09-26,2016-10-03,600.826
2016-09-19,2016-09-26,609.874
2016-09-12,2016-09-19,606.719
2016-09-05,2016-09-12,608.634
2016-08-29,2016-09-05,573.912
2016-08-22,2016-08-29,581.308
2016-08-15,2016-08-22,570.473
2016-08-08,2016-08-15,592.69
2016-08-01,2016-08-08,624.681
2016-07-25,2016-08-01,661.285
2016-07-18,2016-07-25,679.459
2016-07-11,2016-07-18,649.36
2016-07-04,2016-07-11,658.664
2016-06-27,2016-07-04,629.367
2016-06-20,2016-06-27,763.781
2016-06-13,2016-06-20,672.784
2016-06-06,2016-06-13,574.977
2016-05-30,2016-06-06,526.233
2016-05-23,2016-05-30,439.323
2016-05-16,2016-05-23,457.568
2016-05-09,2016-05-16,458.548
2016-05-02,2016-05-09,451.875
2016-04-25,2016-05-02,458.555
2016-04-18,2016-04-25,427.399
2016-04-11,2016-04-18,421.564
2016-04-04,2016-04-11,420.904
2016-03-28,2016-04-04,426.765
2016-03-21,2016-03-28,413.755
2016-03-14,2016-03-21,414.065
2016-03-07,2016-03-14,407.707
